BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,0,0.9,350.0,0.0,25.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,28,true,false
Bus-001,CITY_CENTER,1,0.9,360.0,0.0,24.998333,0.0,0.0,6.9444446E-4,300.0,100.0,0.0,0.0,28,true,false
Bus-001,CITY_CENTER,2,0.9,360.0,0.0,24.99667,0.0,0.0,0.0013888889,300.0,100.0,0.0,15.0,29,false,false
Bus-001,CITY_CENTER,3,0.8919224,359.9798,120.00001,25.048344,0.008077577,6.666667,0.0020833334,300.0,100.0,0.0,15.0,30,false,false
Bus-001,CITY_CENTER,4,0.8835399,359.57516,204.00002,25.100002,0.016460052,13.333334,0.0027777778,300.0,100.0,0.0,30.0,31,false,false
Bus-001,CITY_CENTER,5,0.8802021,359.16864,192.98291,25.107641,0.019797852,16.121273,0.0034722222,300.0,100.0,0.0,30.0,31,false,false
Bus-001,CITY_CENTER,6,0.8765693,359.001,189.73267,25.117012,0.023430718,19.157085,0.004166667,300.0,100.0,0.0,30.0,32,false,false
Bus-001,CITY_CENTER,7,0.87279063,358.81897,189.6793,25.1273,0.027209377,22.316332,0.0048611113,300.0,100.0,0.0,30.0,33,false,false
Bus-001,CITY_CENTER,8,0.8690366,358.6301,189.30096,25.137445,0.0309634,25.456635,0.0055555557,300.0,100.0,0.0,21.0,34,false,true
Bus-001,CITY_CENTER,9,0.87365985,358.46344,62.864784,25.15372,0.03558664,29.32585,0.00625,300.0,100.0,0.4623241,21.0,35,false,true
Bus-001,CITY_CENTER,10,0.878299,358.6946,-25.83471,25.170094,0.04022576,33.205853,0.0069444445,300.0,100.0,0.46248287,0.0,35,true,false
Bus-001,CITY_CENTER,11,0.8866323,358.91495,-18.084295,25.1684,0.04022576,33.205853,0.007638889,300.0,100.0,0.46248287,0.0,36,true,false
Bus-001,CITY_CENTER,12,0.89496565,359.3316,-12.659006,25.166708,0.04022576,33.205853,0.008333334,300.0,100.0,0.46248287,15.0,37,false,false
Bus-001,CITY_CENTER,13,0.88713706,359.7287,108.65622,25.21617,0.048054356,39.734604,0.009027778,300.0,100.0,0.46248287,15.0,38,false,false
Bus-001,CITY_CENTER,14,0.8796328,359.33804,188.83073,25.261568,0.055558626,45.99968,0.009722223,300.0,100.0,0.46248287,30.0,38,false,false
Bus-001,CITY_CENTER,15,0.8795716,358.98148,133.10149,25.259857,0.055619784,46.05079,0.010416667,300.0,100.0,0.46248287,30.0,39,false,false
Bus-001,CITY_CENTER,16,0.8801341,358.97998,84.70968,25.258411,0.056182276,46.520863,0.011111111,300.0,100.0,0.4218595,30.0,40,false,false
Bus-001,CITY_CENTER,17,0.8812236,359.00946,42.908775,25.257698,0.057271805,47.43131,0.011805556,300.0,100.0,0.39056882,30.0,40,false,false
Bus-001,CITY_CENTER,18,0.8827045,359.0649,7.7650204,25.257832,0.05875269,48.668594,0.0125,300.0,100.0,0.3663208,21.0,41,false,true
Bus-001,CITY_CENTER,19,0.8874389,359.1471,-65.749115,25.274899,0.06348709,52.623295,0.013194445,300.0,100.0,0.3770327,21.0,42,false,true
Bus-001,CITY_CENTER,20,0.89218915,359.38385,-117.40071,25.292063,0.068237364,56.588646,0.013888889,300.0,100.0,0.3868322,0.0,42,true,false
Bus-001,CITY_CENTER,21,0.9005225,359.60947,-82.1805,25.290354,0.068237364,56.588646,0.014583333,300.0,100.0,0.3868322,0.0,43,true,false
Bus-001,CITY_CENTER,22,0.9005225,360.1045,-57.52635,25.288649,0.068237364,56.588646,0.015277778,300.0,100.0,0.3868322,15.0,44,false,false
Bus-001,CITY_CENTER,23,0.89372367,360.0875,61.68925,25.325449,0.0750362,62.252964,0.015972223,300.0,100.0,0.3868322,15.0,44,false,false
